rank,ticker,company_name,number_of_earnings_events,positive_7d_window_rate,average_change_7d_before_to_7d_after_pct,median_change_7d_before_to_7d_after_pct,average_change_earnings_to_7d_after_pct,average_eps_surprise_pct,best_7d_window_return_pct,worst_7d_window_return_pct,ranking_score,eps_beat_rate,average_return_on_eps_beat_pct,eps_beat_reaction_score
41,ASML,ASML Holding N.V. - New York Re,12,0.33,-2.27,-4.01,-1.33,6.13,22.12,-20.58,15.01,0.9166666666666666,-2.9547317683646614,42.87860156496867
42,TXN,Texas Instruments Incorporated,12,0.42,2.94,-0.73,1.14,6.28,24.47,-12.36,24.4,0.75,4.71386343389652,42.21386343389652
43,PLXS,Plexus Corp.,12,0.58,0.98,2.78,1.26,9.0,9.15,-14.16,31.04,0.8333333333333334,0.4079001343029106,42.074566800969585
44,SMCI,"Super Micro Computer, Inc.",11,0.55,-1.44,2.47,-0.22,9.35,52.06,-29.86,26.77,0.7272727272727273,5.709163349694505,42.07279971333087
45,AMKR,"Amkor Technology, Inc.",12,0.58,-0.16,2.01,-2.11,24.21,17.22,-31.8,31.42,0.8333333333333334,0.032459659516975846,41.699126326183645
46,FORM,"FormFactor, Inc.",12,0.58,6.65,5.87,4.07,17.61,34.56,-24.26,37.58,0.6666666666666666,7.891309656198606,41.22464298953194
47,CEVA,"CEVA, Inc.",12,0.67,3.09,8.37,1.04,22.08,29.55,-23.92,38.63,0.5,16.18164255235786,41.18164255235786
48,QRVO,"Qorvo, Inc.",12,0.33,-4.0,-2.5,-4.75,87.05,18.93,-28.77,21.37,0.9166666666666666,-4.8883617864523226,40.94497154688101
49,AMD,"Advanced Micro Devices, Inc.",12,0.42,1.49,-0.86,0.21,101.95,38.7,-15.47,32.51,0.75,3.2120078327820516,40.71200783278205
50,AOSL,Alpha and Omega Semiconductor L,12,0.33,-4.16,-5.86,-5.48,118.78,29.31,-33.77,24.38,0.8333333333333334,-1.944192825383182,39.72247384128349
51,MRVL,"Marvell Technology, Inc.",12,0.58,-0.8,1.5,-4.14,4.05,14.54,-26.4,28.77,0.75,1.9319084737941234,39.431908473794124
52,PI,"Impinj, Inc.",12,0.5,3.56,-0.65,2.7,100.67,39.53,-29.22,38.63,0.6666666666666666,5.540366216786432,38.87369955011976
53,PLAB,"Photronics, Inc.",12,0.33,-1.07,-5.97,-3.63,4.15,44.08,-36.64,16.01,0.5,13.197291086282922,38.197291086282924
54,AIP,"Arteris, Inc.",11,0.55,2.04,0.86,-0.32,13.71,24.56,-18.22,30.68,0.7272727272727273,0.5447423124476879,36.908378676084055
55,FSLR,"First Solar, Inc.",12,0.5,-0.27,0.78,1.38,10.16,18.77,-19.43,25.74,0.6666666666666666,3.487068388552159,36.82040172188549
56,INTC,Intel Corporation,12,0.58,0.3,2.6,-0.19,284.74,37.93,-33.7,57.94,0.6666666666666666,3.4395184857819414,36.77285181911527
57,MCHP,Microchip Technology Incorporat,12,0.25,-1.39,-2.0,-1.15,4.92,32.23,-14.86,11.6,0.75,-1.338476538326259,36.16152346167374
58,MRAM,"Everspin Technologies, Inc.",12,0.42,-0.92,-7.62,-0.73,189.7,66.74,-19.95,38.88,0.6666666666666666,1.7510969196904966,35.084430253023825
59,IPGP,IPG Photonics Corporation,12,0.33,-1.27,-0.53,1.74,29.52,30.95,-23.88,18.34,0.5833333333333334,5.109332517640516,34.27599918430718
60,ON,ON Semiconductor Corporation,12,0.67,1.43,4.78,1.76,-7.76,16.95,-20.79,33.99,0.6666666666666666,0.903463862114924,34.236797195448254
61,LFUS,"Littelfuse, Inc.",12,0.5,2.84,1.03,0.44,-34.13,22.88,-14.46,24.42,0.5833333333333334,4.98087989913216,34.14754656579883
62,SWKS,"Skyworks Solutions, Inc.",12,0.25,-4.8,-5.26,-4.18,0.66,12.38,-26.59,7.76,0.75,-3.514282360393283,33.98571763960672
63,OLED,Universal Display Corporation,12,0.42,-3.65,-5.67,-1.94,5.06,13.27,-24.3,17.69,0.6666666666666666,0.10858359856188438,33.441916931895214
