ticker,company_name,earnings_date,eps_estimate,reported_eps,eps_surprise,eps_surprise_pct,price_7d_before_date,price_7d_before_adj_close,earnings_nearest_trading_date,earnings_nearest_adj_close,price_7d_after_date,price_7d_after_adj_close,change_7d_before_to_earnings_pct,change_earnings_to_7d_after_pct,change_7d_before_to_7d_after_pct,data_quality_notes
TSM,Taiwan Semiconductor Manufactur,2025-04-17,2.05,2.12,0.07,3.41,2025-04-10,149.2811,2025-04-17,149.8836,2025-04-24,162.1714,0.4,8.2,8.63,
TSM,Taiwan Semiconductor Manufactur,2025-01-16,2.22,2.24,0.02,0.9,2025-01-08,203.7921,2025-01-16,211.3388,2025-01-23,221.0109,3.7,4.58,8.45,
TSM,Taiwan Semiconductor Manufactur,2024-10-17,1.79,1.94,0.15,8.38,2024-10-10,182.2163,2024-10-17,201.8915,2024-10-24,194.1333,10.8,-3.84,6.54,
TSM,Taiwan Semiconductor Manufactur,2024-07-18,1.42,1.48,0.06,4.23,2024-07-11,180.2954,2024-07-18,167.9532,2024-07-25,156.6273,-6.85,-6.74,-13.13,
TSM,Taiwan Semiconductor Manufactur,2024-04-18,1.32,1.38,0.06,4.55,2024-04-11,143.3931,2024-04-18,128.8492,2024-04-25,133.0478,-10.14,3.26,-7.21,
TSM,Taiwan Semiconductor Manufactur,2024-01-17,1.37,1.44,0.07,5.11,2024-01-10,97.796,2024-01-17,99.8819,2024-01-24,113.0475,2.13,13.18,15.6,
TSM,Taiwan Semiconductor Manufactur,2023-10-18,1.17,1.29,0.12,10.26,2023-10-11,88.8395,2023-10-18,86.522,2023-10-25,84.6293,-2.61,-2.19,-4.74,
TSM,Taiwan Semiconductor Manufactur,2023-07-20,1.08,1.14,0.06,5.56,2023-07-13,101.417,2023-07-20,94.0103,2023-07-27,95.4417,-7.3,1.52,-5.89,
TXN,Texas Instruments Incorporated,2026-04-22,1.37,1.71,0.34,24.82,2026-04-15,215.1966,2026-04-22,235.1154,2026-04-29,267.859,9.26,13.93,24.47,
TXN,Texas Instruments Incorporated,2026-01-27,1.28,1.31,0.03,2.34,2026-01-20,187.4083,2026-01-27,194.3673,2026-02-03,224.0715,3.71,15.28,19.56,
TXN,Texas Instruments Incorporated,2025-10-21,1.49,1.48,-0.01,-0.67,2025-10-14,170.4173,2025-10-21,177.1775,2025-10-28,163.5296,3.97,-7.7,-4.04,
TXN,Texas Instruments Incorporated,2025-07-22,1.37,1.41,0.04,2.92,2025-07-15,212.4024,2025-07-22,209.0563,2025-07-29,186.1585,-1.58,-10.95,-12.36,
TXN,Texas Instruments Incorporated,2025-04-23,1.1,1.28,0.18,16.36,2025-04-16,141.3458,2025-04-23,146.7469,2025-04-30,155.6833,3.82,6.09,10.14,
TXN,Texas Instruments Incorporated,2025-01-23,1.23,1.3,0.07,5.69,2025-01-16,179.3896,2025-01-23,192.0657,2025-01-30,177.3791,7.07,-7.65,-1.12,
TXN,Texas Instruments Incorporated,2024-10-22,1.37,1.47,0.1,7.3,2024-10-15,190.0771,2024-10-22,184.4939,2024-10-29,201.0248,-2.94,8.96,5.76,
TXN,Texas Instruments Incorporated,2024-07-23,1.19,1.17,-0.02,-1.68,2024-07-16,195.2547,2024-07-23,187.3829,2024-07-30,189.9344,-4.03,1.36,-2.72,
TXN,Texas Instruments Incorporated,2024-04-23,1.08,1.22,0.14,12.96,2024-04-16,157.2383,2024-04-23,155.2493,2024-04-30,165.5229,-1.26,6.62,5.27,
TXN,Texas Instruments Incorporated,2024-01-23,1.49,1.46,-0.03,-2.01,2024-01-16,152.5536,2024-01-23,162.2907,2024-01-30,152.0405,6.38,-6.32,-0.34,
TXN,Texas Instruments Incorporated,2023-10-24,1.82,1.85,0.03,1.65,2023-10-17,142.2941,2023-10-24,135.5235,2023-10-31,132.1952,-4.76,-2.46,-7.1,
TXN,Texas Instruments Incorporated,2023-07-25,1.77,1.87,0.1,5.65,2023-07-18,168.2499,2023-07-25,170.4483,2023-08-01,164.534,1.31,-3.47,-2.21,
TYGO,"Tigo Energy, Inc.",2026-05-05,-0.03,-0.02,0.01,33.33,2026-04-28,4.99,2026-05-05,5.16,2026-05-12,4.12,3.41,-20.16,-17.43,
TYGO,"Tigo Energy, Inc.",2026-02-24,-0.04,-0.04,0.0,0.0,2026-02-17,3.34,2026-02-24,3.54,2026-03-03,3.61,5.99,1.98,8.08,
TYGO,"Tigo Energy, Inc.",2025-10-28,-0.05,-0.03,0.02,40.0,2025-10-21,2.39,2025-10-28,2.54,2025-11-04,2.24,6.28,-11.81,-6.28,
TYGO,"Tigo Energy, Inc.",2025-07-29,-0.08,-0.07,0.01,12.5,2025-07-22,1.26,2025-07-29,1.23,2025-08-05,1.24,-2.38,0.81,-1.59,
TYGO,"Tigo Energy, Inc.",2025-05-06,-0.11,-0.11,0.0,0.0,2025-04-29,0.86,2025-05-06,0.806,2025-05-13,0.94,-6.28,16.63,9.3,
TYGO,"Tigo Energy, Inc.",2025-02-11,-0.16,-0.44,-0.28,-175.0,2025-02-04,1.05,2025-02-11,1.0,2025-02-18,0.98,-4.76,-2.0,-6.67,
TYGO,"Tigo Energy, Inc.",2024-11-06,-0.16,-0.22,-0.06,-37.5,2024-10-30,1.13,2024-11-06,1.15,2024-11-13,1.04,1.77,-9.57,-7.96,
TYGO,"Tigo Energy, Inc.",2024-08-06,-0.13,-0.19,-0.06,-46.15,2024-07-30,1.6,2024-08-06,1.44,2024-08-13,1.08,-10.0,-25.0,-32.5,
TYGO,"Tigo Energy, Inc.",2024-05-14,-0.19,-0.19,0.0,0.0,2024-05-07,1.13,2024-05-14,1.36,2024-05-21,1.27,20.35,-6.62,12.39,
