ticker,company_name,number_of_earnings_events,average_change_7d_before_to_7d_after_pct,median_change_7d_before_to_7d_after_pct,average_change_earnings_to_7d_after_pct,median_change_earnings_to_7d_after_pct,positive_7d_window_count,negative_7d_window_count,positive_7d_window_rate,best_7d_window_return_pct,worst_7d_window_return_pct,average_eps_surprise_pct,median_eps_surprise_pct,average_reported_eps,average_eps_estimate,eps_beat_rate,average_return_on_eps_beat_pct,median_return_on_eps_beat_pct
SANM,Sanmina Corporation,12,6.87,8.09,3.48,2.03,7,5,0.58,29.25,-13.88,5.26,4.55,1.625,1.5192,0.75,8.388329783818698,8.239700398854707
SHLS,"Shoals Technologies Group, Inc.",12,-11.05,-16.77,-6.73,-10.34,2,10,0.17,59.1,-44.77,-1.36,7.69,0.0982,0.0983,0.5,-9.346717024466642,-16.076781740802602
SIMO,Silicon Motion Technology Corpo,12,12.31,6.26,8.56,4.15,10,2,0.83,67.36,-10.99,16.5,11.4,0.9075,0.77,0.8333333333333334,12.0287472650794,6.021855994571599
SITM,SiTime Corporation,12,15.89,11.31,10.91,10.76,9,3,0.75,58.44,-13.67,55.91,26.67,0.3658,0.26,0.9166666666666666,16.798128656410356,11.57233281207642
SLAB,"Silicon Laboratories, Inc.",12,4.65,-0.66,2.66,3.36,6,6,0.5,43.58,-13.6,-1.17,4.67,-0.0683,-0.09,0.8333333333333334,4.435587932365441,-1.9880332123902047
SMCI,"Super Micro Computer, Inc.",11,-1.44,2.47,-0.22,-4.6,6,5,0.55,52.06,-29.86,9.35,6.25,0.5145,0.4736,0.7272727272727273,5.709163349694505,7.182531020821392
SMTC,Semtech Corporation,13,12.17,13.17,6.57,8.96,9,4,0.69,43.43,-25.18,59.49,11.52,0.2415,0.2083,0.8461538461538461,12.721460083166361,13.168633343812267
SWKS,"Skyworks Solutions, Inc.",12,-4.8,-5.26,-4.18,-3.68,3,9,0.25,12.38,-26.59,0.66,1.97,1.4167,1.3917,0.75,-3.514282360393283,-4.843952697605318
SYNA,Synaptics Incorporated,12,6.91,5.38,5.97,3.39,9,3,0.75,38.67,-15.53,80.04,8.04,1.0808,0.5225,1.0,6.909451854919223,5.377164589788494
TER,"Teradyne, Inc.",12,1.15,-6.26,2.43,-3.89,5,7,0.42,33.77,-16.46,16.78,12.81,1.0042,0.86,0.9166666666666666,-0.033923021844182166,-6.5128841651233405
TOYO,"TOYO Co., Ltd",1,13.67,13.67,3.38,3.38,1,0,1.0,13.67,13.67,4.17,4.17,0.75,0.72,1.0,13.670134824466182,13.670134824466182
TSEM,Tower Semiconductor Ltd.,12,8.17,10.21,-0.95,-2.54,8,4,0.67,21.95,-3.4,11.43,11.07,0.545,0.49,1.0,8.173511123507135,10.211609093762114
TSM,Taiwan Semiconductor Manufactur,12,1.42,4.05,0.85,-0.05,7,5,0.58,15.6,-13.13,5.88,5.24,2.0875,1.9725,1.0,1.4244842586859452,4.048259099505435
TXN,Texas Instruments Incorporated,12,2.94,-0.73,1.14,-0.55,5,7,0.42,24.47,-12.36,6.28,4.28,1.4608,1.38,0.75,4.71386343389652,5.26882313119519
TYGO,"Tigo Energy, Inc.",12,-7.47,-6.47,-7.58,-4.31,4,8,0.33,12.39,-42.55,-21.49,0.0,-0.1342,-0.09,0.25,-8.43277422457672,-6.276154342405177
VECO,Veeco Instruments Inc.,12,7.8,9.15,8.19,6.61,9,3,0.75,28.5,-8.91,20.35,12.69,0.3708,0.3292,0.75,6.651272253357427,8.132105567954376
WATT,Energous Corporation,10,-17.24,-11.99,-13.2,-11.11,1,9,0.1,10.44,-60.57,17.5,18.92,-19.02,-19.911,0.8,-17.066909677550683,-11.994484696767389
d
